country,region,population,pop_density,infant_mortality,GDP_p_capita,literacy,climate,birthrate,deathrate
Lebanon ,NEAR EAST                          ,3874050,372.5,"24,52",4800.0,87.4,,18.52,6.21
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,66.6,"84,23",3000.0,84.8,3,24.75,28.71
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,27.3,"128,87",1000.0,57.5,2,44.77,23.1
Libya ,NORTHERN AFRICA                    ,5900754,3.4,"24,6",6400.0,82.6,,26.49,3.48
Liechtenstein ,WESTERN EUROPE                     ,33987,212.4,"4,7",25000.0,100.0,4,10.21,7.18
Lithuania ,BALTICS                            ,3585906,55.0,"6,89",11400.0,99.6,,8.75,10.98
Luxembourg ,WESTERN EUROPE                     ,474413,183.5,"4,81",55100.0,100.0,,11.94,8.41
Macau ,ASIA (EX. NEAR EAST)         ,453125,16183.0,"4,39",19400.0,94.5,2,8.48,4.47
Macedonia ,EASTERN EUROPE                     ,2050554,80.9,"10,09",6700.0,,3,12.02,8.77
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,31.7,"76,83",800.0,68.9,2,41.41,11.11
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,109.8,"103,32",600.0,62.7,2,43.13,19.33
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,74.0,"17,7",9000.0,88.7,2,22.86,5.05
Maldives ,ASIA (EX. NEAR EAST)         ,359008,1196.7,"56,52",3900.0,97.2,2,34.81,7.06
Mali ,SUB-SAHARAN AFRICA                 ,11716829,9.5,"116,79",900.0,46.4,2,49.82,16.89
Malta ,WESTERN EUROPE                     ,400214,1266.5,"3,89",17700.0,92.8,,10.22,8.1
Marshall Islands ,OCEANIA                            ,60422,5.1,"29,45",1600.0,93.7,2,33.05,4.78
Martinique ,LATIN AMER. & CARIB    ,436131,396.5,"7,09",14400.0,97.7,2,13.74,6.48
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,3.1,"70,89",1800.0,41.7,1,40.99,12.16
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,608.3,"15,03",11400.0,85.6,2,15.43,6.86
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,538.1,"62,4",2600.0,,2,40.95,7.7
Mexico ,LATIN AMER. & CARIB    ,107449525,54.5,"20,91",9000.0,92.2,"1,5",20.69,4.74
"Micronesia, Fed. St. ",OCEANIA                            ,108004,153.9,"30,21",2000.0,89.0,2,24.68,4.75
Moldova ,C.W. OF IND. STATES ,4466706,132.0,"40,42",1800.0,99.1,,15.7,12.64
Monaco ,WESTERN EUROPE                     ,32543,16271.5,"5,43",27000.0,99.0,,9.19,12.91
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1.8,"53,79",1800.0,97.8,1,21.59,6.95
Montserrat ,LATIN AMER. & CARIB    ,9439,92.5,"7,35",3400.0,97.0,2,17.59,7.1
Morocco ,NORTHERN AFRICA                    ,33241259,74.4,"41,62",4000.0,51.7,,21.98,5.58
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,24.6,"130,79",1200.0,47.8,2,35.18,21.35
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,2.5,"48,98",7200.0,84.0,1,24.32,18.86
Nauru ,OCEANIA                            ,13287,632.7,"9,95",5000.0,,2,24.76,6.7
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,192.2,"66,98",1400.0,45.2,,30.98,9.31
Netherlands ,WESTERN EUROPE                     ,16491461,397.1,"5,04",28600.0,99.0,3,10.9,8.68
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,231.0,"10,03",11400.0,96.7,2,14.78,6.45
New Caledonia ,OCEANIA                            ,219246,11.5,"7,72",15000.0,91.0,2,18.11,5.69
New Zealand ,OCEANIA                            ,4076140,15.2,"5,85",21600.0,99.0,3,13.76,7.53
Nicaragua ,LATIN AMER. & CARIB    ,5570129,43.0,"29,11",2300.0,67.5,2,24.51,4.45
Niger ,SUB-SAHARAN AFRICA                 ,12525094,9.9,"121,69",800.0,17.6,1,50.73,20.91
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,142.7,"98,8",900.0,68.0,"1,5",40.43,16.94
N. Mariana Islands ,OCEANIA                            ,82459,172.9,"7,11",12500.0,97.0,2,19.43,2.29
Norway ,WESTERN EUROPE                     ,4610820,14.2,"3,7",37800.0,100.0,3,11.46,9.4
Oman ,NEAR EAST                          ,3102229,14.6,"19,51",13100.0,75.8,1,36.24,3.81
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,206.2,"72,44",2100.0,45.7,1,29.74,8.23
Palau ,OCEANIA                            ,20579,44.9,"14,84",9000.0,92.0,2,18.03,6.8
Panama ,LATIN AMER. & CARIB    ,3191319,40.8,"20,47",6300.0,92.6,2,21.74,5.36
Papua New Guinea ,OCEANIA                            ,5670544,12.3,"51,45",2200.0,64.6,2,29.36,7.25
Paraguay ,LATIN AMER. & CARIB    ,6506464,16.0,"25,63",4700.0,94.0,2,29.1,4.49
Peru ,LATIN AMER. & CARIB    ,28302603,22.0,"31,94",5100.0,90.9,"1,5",20.48,6.23
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,298.2,"23,51",4600.0,92.6,2,24.89,5.41
Poland ,EASTERN EUROPE                     ,38536869,123.3,"8,51",11100.0,99.8,3,9.85,9.89
Portugal ,WESTERN EUROPE                     ,10605870,114.8,"5,05",18000.0,93.3,3,10.72,10.5
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,284.8,"8,24",16800.0,94.1,2,12.77,7.65
Qatar ,NEAR EAST                          ,885359,77.4,"18,61",21500.0,82.5,1,15.56,4.72
Reunion ,SUB-SAHARAN AFRICA                 ,787584,312.9,"7,78",5800.0,88.9,2,18.9,5.49
Romania ,EASTERN EUROPE                     ,22303552,93.9,"26,43",7000.0,98.4,3,10.7,11.77
Russia ,C.W. OF IND. STATES ,142893540,8.4,"15,39",8900.0,99.6,,9.95,14.65
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,328.4,"91,23",1300.0,70.4,3,40.37,16.09
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,18.2,19,2500.0,97.0,,12.13,6.53
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,149.9,"14,49",8800.0,97.0,2,18.02,8.33
Saint Lucia ,LATIN AMER. & CARIB    ,168458,273.5,"13,53",5400.0,67.0,2,19.68,5.08
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,29.0,"7,54",6900.0,99.0,,13.52,6.83
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,303.0,"14,78",2900.0,96.0,2,16.18,5.98
Samoa ,OCEANIA                            ,176908,60.1,"27,71",5600.0,99.7,2,16.43,6.62
San Marino ,WESTERN EUROPE                     ,29251,479.5,"5,73",34600.0,96.0,,10.02,8.17
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,193.2,"43,11",1200.0,79.3,2,40.25,6.47
Saudi Arabia ,NEAR EAST                          ,27019731,13.8,"13,24",11800.0,78.8,1,29.34,2.58
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,61.1,"55,51",1600.0,40.2,2,32.78,9.42
Serbia ,EASTERN EUROPE                     ,9396411,106.3,"12,89",2200.0,93.0,,,
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,179.2,"15,53",7800.0,58.0,2,16.03,6.29
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,83.7,"143,64",500.0,31.4,2,45.76,23.03
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,6482.2,"2,29",23700.0,92.5,2,9.34,4.28
Slovakia ,EASTERN EUROPE                     ,5439448,111.4,"7,41",13300.0,,3,10.65,9.45
Slovenia ,EASTERN EUROPE                     ,2010347,99.2,"4,45",19000.0,99.7,,8.98,10.31
Solomon Islands ,OCEANIA                            ,552438,19.4,"21,29",1700.0,,2,30.01,3.92
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,13.9,"116,7",500.0,37.8,1,45.13,16.63
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,36.2,"61,81",10700.0,86.4,1,18.2,22.0
Spain ,WESTERN EUROPE                     ,40397842,80.0,"4,42",22000.0,97.9,3,10.06,9.72
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,308.2,"14,35",3700.0,92.3,2,15.51,6.52
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,16.5,"62,5",1900.0,61.1,2,34.53,8.97
Suriname ,LATIN AMER. & CARIB    ,439117,2.7,"23,57",4000.0,93.0,2,18.02,7.27
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,65.5,"69,27",4900.0,81.6,"2,5",27.41,29.74
Sweden ,WESTERN EUROPE                     ,9016596,20.0,"2,77",26800.0,99.0,3,10.27,10.31
Switzerland ,WESTERN EUROPE                     ,7523934,182.2,"4,39",32700.0,99.0,3,9.71,8.49
Syria ,NEAR EAST                          ,18881361,102.0,"29,53",3300.0,76.9,1,27.76,4.81
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,640.3,"6,4",23400.0,96.1,2,12.56,6.48
Tajikistan ,C.W. OF IND. STATES ,7320815,51.2,"110,76",1000.0,99.4,2,32.65,8.25
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,39.6,"98,54",600.0,78.2,,37.71,16.39
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,125.7,"20,48",7400.0,92.6,2,13.87,7.04
Togo ,SUB-SAHARAN AFRICA                 ,5548702,97.7,"66,61",1500.0,60.9,2,37.01,9.83
Tonga ,OCEANIA                            ,114689,153.3,"12,62",2200.0,98.5,2,25.37,5.28
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,207.9,"24,31",9500.0,98.6,2,12.9,10.57
Tunisia ,NORTHERN AFRICA                    ,10175014,62.2,"24,77",6900.0,74.2,3,15.52,5.13
Turkey ,NEAR EAST                          ,70413958,90.2,"41,04",6700.0,86.5,3,16.62,5.97
Turkmenistan ,C.W. OF IND. STATES ,5042920,10.3,"73,08",5800.0,98.0,1,27.61,8.6
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,49.2,"15,67",9600.0,98.0,2,21.84,4.21
Tuvalu ,OCEANIA                            ,11810,454.2,"20,03",1100.0,,2,22.18,7.11
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,119.5,"67,83",1400.0,69.9,2,47.35,12.24
Ukraine ,C.W. OF IND. STATES ,46710816,77.4,"20,34",5400.0,99.7,3,8.82,14.39
United Arab Emirates ,NEAR EAST                          ,2602713,31.4,"14,51",23200.0,77.9,1,18.96,4.4
United Kingdom ,WESTERN EUROPE                     ,60609153,247.6,"5,16",27700.0,99.0,3,10.71,10.13
United States ,NORTHERN AMERICA                   ,298444215,31.0,"6,5",37800.0,97.0,3,14.14,8.26
Uruguay ,LATIN AMER. & CARIB    ,3431932,19.5,"11,95",12800.0,98.0,3,13.91,9.05
Uzbekistan ,C.W. OF IND. STATES ,27307134,61.0,"71,1",1700.0,99.3,1,26.36,7.84
Vanuatu ,OCEANIA                            ,208869,17.1,"55,16",2900.0,53.0,2,22.72,7.82
Venezuela ,LATIN AMER. & CARIB    ,25730435,28.2,"22,2",4800.0,93.4,2,18.71,4.92
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,256.1,"25,95",2500.0,90.3,2,16.86,6.22
Virgin Islands ,LATIN AMER. & CARIB    ,108605,56.9,"8,03",17200.0,,2,13.96,6.43
Wallis and Futuna ,OCEANIA                            ,16025,58.5,,3700.0,50.0,2,,
West Bank ,NEAR EAST                          ,2460492,419.9,"19,62",800.0,,3,31.67,3.92
Western Sahara ,NORTHERN AFRICA                    ,273008,1.0,,,,1,,
Yemen ,NEAR EAST                          ,21456188,40.6,"61,5",800.0,50.2,1,42.89,8.3
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,15.3,"88,29",800.0,80.6,2,41.0,19.93
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,31.3,"67,69",1900.0,90.7,2,28.01,21.84
